parameter,value,scenario,GWP,MSP,E_kWh,GWP_credited
util,1.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
util,1.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
ce0_field,0.1,IL_A,0.21066883512923923,5.184732178919544,0.0124393454824253,0.19894717732368145
ce0_field,0.1,IL_B,0.21066883512923923,5.665424618773663,0.0124393454824253,0.19894717732368145
ce0_field,0.1,FA_A,0.15351856569022462,4.486381801638287,0.0124393454824253,0.14179690788466684
ce0_field,0.1,FA_B,0.15351856569022462,4.967074241492407,0.0124393454824253,0.14179690788466684
ce0_field,0.1,BC_A,0.1653992673947137,6.353275093537178,0.0124393454824253,0.1536776095891559
ce0_field,0.1,BC_B,0.14516991823476885,5.171586323967816,0.0124393454824253,0.13344826042921107
ce0_field,0.1,LC3_A,0.15005821878588968,4.436758417397297,0.0124393454824253,0.1383365609803319
ce0_field,0.1,LC3_B,0.15005821878588968,4.917450857251416,0.0124393454824253,0.1383365609803319
ce0_field,0.15000000000000002,IL_A,0.20984038163898644,5.184732178919544,0.011560167865033224,0.19894717732368145
ce0_field,0.15000000000000002,IL_B,0.20984038163898644,5.665424618773663,0.011560167865033224,0.19894717732368145
ce0_field,0.15000000000000002,FA_A,0.15269011219997183,4.486381801638287,0.011560167865033224,0.14179690788466684
ce0_field,0.15000000000000002,FA_B,0.15269011219997183,4.967074241492407,0.011560167865033224,0.14179690788466684
ce0_field,0.15000000000000002,BC_A,0.16508410929679504,6.341244612811922,0.011560167865033224,0.15419090498149005
ce0_field,0.15000000000000002,BC_B,0.14504256810880783,5.169422765789581,0.011560167865033224,0.13414936379350284
ce0_field,0.15000000000000002,LC3_A,0.1492297652956369,4.436758417397297,0.011560167865033224,0.1383365609803319
ce0_field,0.15000000000000002,LC3_B,0.1492297652956369,4.917450857251416,0.011560167865033224,0.1383365609803319
ce0_field,0.2,IL_A,0.20901058627427488,5.184732178919544,0.010679566213578422,0.19894717732368145
ce0_field,0.2,IL_B,0.20901058627427488,5.665424618773663,0.010679566213578422,0.19894717732368145
ce0_field,0.2,FA_A,0.15186031683526025,4.486381801638287,0.010679566213578422,0.1417969078846668
ce0_field,0.2,FA_B,0.15186031683526025,4.967074241492407,0.010679566213578422,0.1417969078846668
ce0_field,0.2,BC_A,0.16476844072652394,6.329159385960093,0.010679566213578422,0.1547050317759305
ce0_field,0.2,BC_B,0.14491501170949128,5.167244966187394,0.010679566213578422,0.13485160275889785
ce0_field,0.2,LC3_A,0.1483999699309253,4.436758417397297,0.010679566213578422,0.13833656098033187
ce0_field,0.2,LC3_B,0.1483999699309253,4.917450857251416,0.010679566213578422,0.13833656098033187
ce0_field,0.25,IL_A,0.20817944577224212,5.184732178919544,0.009797537065421583,0.19894717732368145
ce0_field,0.25,IL_B,0.20817944577224212,5.665424618773663,0.009797537065421583,0.19894717732368145
ce0_field,0.25,FA_A,0.1510291763332275,4.486381801638287,0.009797537065421583,0.1417969078846668
ce0_field,0.25,FA_B,0.1510291763332275,4.967074241492407,0.009797537065421583,0.1417969078846668
ce0_field,0.25,BC_A,0.16445226044265082,6.317017815786727,0.009797537065421583,0.15521999199409015
ce0_field,0.25,BC_B,0.1447872485352509,5.165051430524768,0.009797537065421583,0.13555498008669026
ce0_field,0.25,LC3_A,0.14756882942889255,4.436758417397297,0.009797537065421583,0.13833656098033187
ce0_field,0.25,LC3_B,0.14756882942889255,4.917450857251416,0.009797537065421583,0.13833656098033187
ce0_field,0.30000000000000004,IL_A,0.2073469568594386,5.184732178919544,0.00891407694668809,0.19894717732368145
ce0_field,0.30000000000000004,IL_B,0.2073469568594386,5.665424618773663,0.00891407694668809,0.19894717732368145
ce0_field,0.30000000000000004,FA_A,0.15019668742042397,4.486381801638287,0.00891407694668809,0.1417969078846668
ce0_field,0.30000000000000004,FA_B,0.15019668742042397,4.967074241492407,0.00891407694668809,0.1417969078846668
ce0_field,0.30000000000000004,BC_A,0.16413556719989866,6.304818042875317,0.00891407694668809,0.1557357876641415
ce0_field,0.30000000000000004,BC_B,0.14465927808289114,5.162840306123793,0.00891407694668809,0.13625949854713398
ce0_field,0.30000000000000004,LC3_A,0.14673634051608903,4.436758417397297,0.00891407694668809,0.13833656098033187
ce0_field,0.30000000000000004,LC3_B,0.14673634051608903,4.917450857251416,0.00891407694668809,0.13833656098033187
ce0_field,0.3500000000000001,IL_A,0.20651311625178478,5.184732178919544,0.008029182372222412,0.19894717732368145
ce0_field,0.3500000000000001,IL_B,0.20651311625178478,5.665424618773663,0.008029182372222412,0.19894717732368145
ce0_field,0.3500000000000001,FA_A,0.14936284681277015,4.486381801638287,0.008029182372222412,0.1417969078846668
ce0_field,0.3500000000000001,FA_B,0.14936284681277015,4.967074241492407,0.008029182372222412,0.1417969078846668
ce0_field,0.3500000000000001,BC_A,0.16381835974894648,6.2925578531886295,0.008029182372222412,0.15625242082084315
ce0_field,0.3500000000000001,BC_B,0.14453109984758225,5.160609249929797,0.008029182372222412,0.1369651609194789
ce0_field,0.3500000000000001,LC3_A,0.1459024999084352,4.436758417397297,0.008029182372222412,0.13833656098033187
ce0_field,0.3500000000000001,LC3_B,0.1459024999084352,4.917450857251416,0.008029182372222412,0.13833656098033187
ce0_field,0.4,IL_A,0.2056779206545278,5.184732178919544,0.00714284984554228,0.19894717732368145
ce0_field,0.4,IL_B,0.2056779206545278,5.665424618773663,0.00714284984554228,0.19894717732368145
ce0_field,0.4,FA_A,0.14852765121551317,4.486381801638287,0.00714284984554228,0.1417969078846668
ce0_field,0.4,FA_B,0.14852765121551317,4.967074241492407,0.00714284984554228,0.1417969078846668
ce0_field,0.4,BC_A,0.1635006368364131,6.280234537058988,0.00714284984554228,0.15676989350556675
ce0_field,0.4,BC_B,0.1444027133228537,5.158355226220862,0.00714284984554228,0.13767196999200734
ce0_field,0.4,LC3_A,0.14506730431117823,4.436758417397297,0.00714284984554228,0.13833656098033187
ce0_field,0.4,LC3_B,0.14506730431117823,4.917450857251416,0.00714284984554228,0.13833656098033187
price_rcf,0.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,0.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,0.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
price_rcf,0.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,0.0,BC_A,0.16498946238170983,6.337624861448024,0.011296137050506671,0.15434505563074416
price_rcf,0.0,BC_B,0.14500432287050513,5.168770983408761,0.011296137050506671,0.13435991611953946
price_rcf,0.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
price_rcf,0.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
price_rcf,5.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,5.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,5.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
price_rcf,5.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,5.0,BC_A,0.16498946238170983,6.372325719729559,0.011296137050506671,0.15434505563074416
price_rcf,5.0,BC_B,0.14500432287050513,5.2034718416902965,0.011296137050506671,0.13435991611953946
price_rcf,5.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
price_rcf,5.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
price_rcf,10.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,10.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,10.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
